,text
1970,<|endoftext|>write a tuple of tuples `A` to a csv file using python: writer.writerow(A)<|endoftext|>
1971,<|endoftext|>Write all tuple of tuples `A` at once into csv file: writer.writerows(A)<|endoftext|>
1972,"<|endoftext|>python, format string ""{} %s {}"" to have 'foo' and 'bar' in the first and second positions: """"""{} %s {}"""""".format('foo', 'bar')<|endoftext|>"
1973,"<|endoftext|>Truncate `\r\n` from each string in a list of string `example`: example = [x.replace('\r\n', '') for x in example]<|endoftext|>"
1974,<|endoftext|>split elements of a list `l` by '\t': [i.partition('\t')[-1] for i in l if '\t' in i]<|endoftext|>
1975,"<|endoftext|>search for regex pattern 'Test(.*)print' in string `testStr` including new line character '\n': re.search('Test(.*)print', testStr, re.DOTALL)<|endoftext|>"
1976,<|endoftext|>find button that is in li class `next` and assign it to variable `next`: next = driver.find_element_by_css_selector('li.next>a')<|endoftext|>
1977,<|endoftext|>get the  size of file 'C:\\Python27\\Lib\\genericpath.py': os.stat('C:\\Python27\\Lib\\genericpath.py').st_size<|endoftext|>
1978,"<|endoftext|>return a string from a regex match with pattern '<img.*?>' in string 'line': imtag = re.match('<img.*?>', line).group(0)<|endoftext|>"
1979,"<|endoftext|>Rename a folder `Joe Blow` to `Blow, Joe`: os.rename('Joe Blow', 'Blow, Joe')<|endoftext|>"
1980,"<|endoftext|>find overlapping matches from a string `hello` using regex: re.findall('(?=(\\w\\w))', 'hello')<|endoftext|>"
1981,<|endoftext|>convert 173 to binary string: bin(173)<|endoftext|>
1982,"<|endoftext|>convert binary string '01010101111' to integer: int('01010101111', 2)<|endoftext|>"
1983,"<|endoftext|>convert binary string '010101' to integer: int('010101', 2)<|endoftext|>"
1984,"<|endoftext|>convert binary string '0b0010101010' to integer: int('0b0010101010', 2)<|endoftext|>"
1985,<|endoftext|>convert 21 to binary string: bin(21)<|endoftext|>
1986,"<|endoftext|>convert binary string '11111111' to integer: int('11111111', 2)<|endoftext|>"
1987,"<|endoftext|>delete all digits in string `s` that are not directly attached to a word character: re.sub('$\\d+\\W+|\\b\\d+\\b|\\W+\\d+$', '', s)<|endoftext|>"
1988,"<|endoftext|>delete digits at the end of string `s`: re.sub('\\b\\d+\\b', '', s)<|endoftext|>"
1989,"<|endoftext|>Delete self-contained digits from string `s`: s = re.sub('^\\d+\\s|\\s\\d+\\s|\\s\\d+$', ' ', s)<|endoftext|>"
1990,"<|endoftext|>truncate string `s` up to character ':': s.split(':', 1)[1]<|endoftext|>"
1991,"<|endoftext|>print a string `s` by splitting with comma `,`: print(s.split(','))<|endoftext|>"
1992,"<|endoftext|>Create list  by splitting string `mystring` using "","" as delimiter: mystring.split(',')<|endoftext|>"
1993,"<|endoftext|>remove parentheses only around single words in a string `s` using regex: re.sub('\\((\\w+)\\)', '\\1', s)<|endoftext|>"
1994,<|endoftext|>webbrowser open url `url`: webbrowser.open_new(url)<|endoftext|>
1995,<|endoftext|>webbrowser open url 'http://example.com': webbrowser.open('http://example.com')<|endoftext|>
1996,<|endoftext|>change the background colour of the button `pushbutton` to red: self.pushButton.setStyleSheet('background-color: red')<|endoftext|>
1997,"<|endoftext|>apply a list of functions named 'functions' over a list of values named 'values': [x(y) for x, y in zip(functions, values)]<|endoftext|>"
1998,"<|endoftext|>modify the width of a text control as `300` keeping default height in wxpython: wx.TextCtrl(self, -1, size=(300, -1))<|endoftext|>"
1999,"<|endoftext|>display a grayscale image from array of pixels `imageArray`: imshow(imageArray, cmap='Greys_r')<|endoftext|>"
2000,<|endoftext|>replace all the nan values with 0 in a pandas dataframe `df`: df.fillna(0)<|endoftext|>
2001,<|endoftext|>export a table dataframe `df` in pyspark to csv 'mycsv.csv': df.toPandas().to_csv('mycsv.csv')<|endoftext|>
2002,<|endoftext|>Write DataFrame `df` to csv file 'mycsv.csv': df.write.csv('mycsv.csv')<|endoftext|>
2003,<|endoftext|>get the sum of each second value from a list of tuple `structure`: sum(x[1] for x in structure)<|endoftext|>
2004,<|endoftext|>sum the 3 largest integers in groupby by 'STNAME' and 'COUNTY_POP': df.groupby('STNAME')['COUNTY_POP'].agg(lambda x: x.nlargest(3).sum())<|endoftext|>
2005,"<|endoftext|>Parse string '21/11/06 16:30' according to format '%d/%m/%y %H:%M': datetime.strptime('21/11/06 16:30', '%d/%m/%y %H:%M')<|endoftext|>"
2006,<|endoftext|>get current script directory: os.path.dirname(os.path.abspath(__file__))<|endoftext|>
2007,"<|endoftext|>double each character in string `text.read()`: re.sub('(.)', '\\1\\1', text.read(), 0, re.S)<|endoftext|>"
2008,"<|endoftext|>concatenate strings in tuple `('a', 'b', 'c', 'd', 'g', 'x', 'r', 'e')` into a single string: """""""""""".join(('a', 'b', 'c', 'd', 'g', 'x', 'r', 'e'))<|endoftext|>"
2009,<|endoftext|>get full path of current directory: os.path.dirname(os.path.abspath(__file__))<|endoftext|>
2010,"<|endoftext|>variable number of digits `digits` in variable `value` in format string ""{0:.{1}%}"": """"""{0:.{1}%}"""""".format(value, digits)<|endoftext|>"
2011,<|endoftext|>get current requested url: self.request.url<|endoftext|>
2012,<|endoftext|>get a random item from list `choices`: random_choice = random.choice(choices)<|endoftext|>
2013,<|endoftext|>sum the length of all strings in a list `strings`: length = sum(len(s) for s in strings)<|endoftext|>
2014,"<|endoftext|>sort a list `s` by first and second attributes: s = sorted(s, key=lambda x: (x[1], x[2]))<|endoftext|>"
2015,"<|endoftext|>sort a list of lists `s` by second and third element in each list.: s.sort(key=operator.itemgetter(1, 2))<|endoftext|>"
2016,<|endoftext|>Mysql commit current transaction: con.commit()<|endoftext|>
2017,<|endoftext|>filtering out strings that contain 'ab' from a list of strings `lst`: [k for k in lst if 'ab' in k]<|endoftext|>
2018,<|endoftext|>find the first letter of each element in string `input`: output = ''.join(item[0].upper() for item in input.split())<|endoftext|>
2019,<|endoftext|>get name of primary field `name` of django model `CustomPK`: CustomPK._meta.pk.name<|endoftext|>
2020,<|endoftext|>count the number of words in a string `s`: len(s.split())<|endoftext|>
2021,"<|endoftext|>multiply array `a` and array `b`respective elements then sum each row of the new array: np.einsum('ji,i->j', a, b)<|endoftext|>"
2022,<|endoftext|>check python version: sys.version<|endoftext|>
2023,<|endoftext|>check python version: sys.version_info<|endoftext|>
2024,<|endoftext|>format number 1000000000.0 using latex notation: print('\\num{{{0:.2g}}}'.format(1000000000.0))<|endoftext|>
2025,<|endoftext|>Initialize a list of empty lists `x` of size 3: x = [[] for i in range(3)]<|endoftext|>
2026,<|endoftext|>apply jinja2 filters `forceescape` and `linebreaks` on variable `my_variable`: {{my_variable | forceescape | linebreaks}}<|endoftext|>
2027,"<|endoftext|>zip a list of tuples `[(1, 4), (2, 5), (3, 6)]` into a list of tuples according to original tuple index: zip(*[(1, 4), (2, 5), (3, 6)])<|endoftext|>"
2028,"<|endoftext|>split a list of tuples `data` into sub-lists of the same tuple field using itertools: [list(group) for key, group in itertools.groupby(data, operator.itemgetter(1))]<|endoftext|>"
2029,<|endoftext|>Convert a string into a list: list('hello')<|endoftext|>
2030,<|endoftext|>create new column `A_perc` in dataframe `df` with row values equal to the value in column `A` divided by the value in column `sum`: df['A_perc'] = df['A'] / df['sum']<|endoftext|>
2031,<|endoftext|>getting a list of all subdirectories in the directory `directory`: os.walk(directory)<|endoftext|>
2032,<|endoftext|>get a list of all subdirectories in the directory `directory`: [x[0] for x in os.walk(directory)]<|endoftext|>
2033,"<|endoftext|>update all values associated with key `i` to string 'updated' if value `j` is not equal to 'None' in dictionary `d`: {i: 'updated' for i, j in list(d.items()) if j != 'None'}<|endoftext|>"
2034,"<|endoftext|>Filter a dictionary `d` to remove keys with value None and replace other values with 'updated': dict((k, 'updated') for k, v in d.items() if v is None)<|endoftext|>"
2035,"<|endoftext|>Filter a dictionary `d` to remove keys with value 'None' and replace other values with 'updated': dict((k, 'updated') for k, v in d.items() if v != 'None')<|endoftext|>"
2036,<|endoftext|>count number of rows in a group `key_columns` in pandas groupby object `df`: df.groupby(key_columns).size()<|endoftext|>
2037,<|endoftext|>return list `result` of sum of elements of each list `b` in list of lists `a`: result = [sum(b) for b in a]<|endoftext|>
2038,<|endoftext|>What's the best way to search for a Python dictionary value in a list of dictionaries?: any(d['site'] == 'Superuser' for d in data)<|endoftext|>
2039,<|endoftext|>create a 2D array of `Node` objects with dimensions `cols` columns and `rows` rows: nodes = [[Node() for j in range(cols)] for i in range(rows)]<|endoftext|>
2040,<|endoftext|>replace extension '.txt' in basename '/home/user/somefile.txt' with extension '.jpg': print(os.path.splitext('/home/user/somefile.txt')[0] + '.jpg')<|endoftext|>
2041,"<|endoftext|>Set the resolution of a monitor as `FULLSCREEN` in pygame: pygame.display.set_mode((0, 0), pygame.FULLSCREEN)<|endoftext|>"
2042,"<|endoftext|>format float `3.5e+20`  to `$3.5 \\times 10^{20}$` and set as title of matplotlib plot `ax`: ax.set_title('$%s \\times 10^{%s}$' % ('3.5', '+20'))<|endoftext|>"
2043,<|endoftext|>Get the age of directory (or file) `/tmp` in seconds.: print(os.path.getmtime('/tmp'))<|endoftext|>
2044,<|endoftext|>how to get month name of datetime `today`: today.strftime('%B')<|endoftext|>
2045,<|endoftext|>get month name from a datetime object `today`: today.strftime('%B')<|endoftext|>
2046,<|endoftext|>Convert nested list `x` into a flat list: [j for i in x for j in i]<|endoftext|>
2047,<|endoftext|>get each value from a list of lists `a` using itertools: print(list(itertools.chain.from_iterable(a)))<|endoftext|>
2048,"<|endoftext|>convert date string 'January 11, 2010'  into day of week: datetime.datetime.strptime('January 11, 2010', '%B %d, %Y').strftime('%A')<|endoftext|>"
2050,"<|endoftext|>remove item ""b"" in list `a`: a.remove('b')<|endoftext|>"
2051,<|endoftext|>remove item `c` in list `a`: a.remove(c)<|endoftext|>
2052,<|endoftext|>delete the element 6 from list `a`: a.remove(6)<|endoftext|>
2053,<|endoftext|>delete the element 6 from list `a`: a.remove(6)<|endoftext|>
2054,"<|endoftext|>delete the element `c` from list `a`: if (c in a):
    a.remove(c)<|endoftext|>"
2055,"<|endoftext|>delete the element `c` from list `a`: try:
    a.remove(c)
except ValueError:
    pass<|endoftext|>"
2056,"<|endoftext|>Get all matching patterns 'a.*?a' from a string 'a 1 a 2 a 3 a 4 a'.: re.findall('(?=(a.*?a))', 'a 1 a 2 a 3 a 4 a')<|endoftext|>"
2057,"<|endoftext|>outer product of each column of a 2d `X` array to form a 3d array `X`: np.einsum('ij,kj->jik', X, X)<|endoftext|>"
2058,<|endoftext|>Getting the last element of list `some_list`: some_list[(-1)]<|endoftext|>
2059,<|endoftext|>Getting the second to last element of list `some_list`: some_list[(-2)]<|endoftext|>
2060,<|endoftext|>gets the `n` th-to-last element in list `some_list`: some_list[(- n)]<|endoftext|>
2061,<|endoftext|>get the last element in list `alist`: alist[(-1)]<|endoftext|>
2062,<|endoftext|>get the last element in list `astr`: astr[(-1)]<|endoftext|>
2063,"<|endoftext|>make a list of integers from 0 to `5` where each second element is a duplicate of the previous element: print([u for v in [[i, i] for i in range(5)] for u in v])<|endoftext|>"
2064,"<|endoftext|>create a list of integers with duplicate values `[0, 0, 1, 1, 2, 2, 3, 3, 4, 4]`: [0, 0, 1, 1, 2, 2, 3, 3, 4, 4]<|endoftext|>"
2065,<|endoftext|>create a list of integers from 1 to 5 with each value duplicated: [(i // 2) for i in range(10)]<|endoftext|>
2066,<|endoftext|>remove first and last lines of string `s`: s[s.find('\n') + 1:s.rfind('\n')]<|endoftext|>
2067,<|endoftext|>create dict of squared int values in range of 100: {(x ** 2) for x in range(100)}<|endoftext|>
2068,"<|endoftext|>zip lists `[1, 2], [3, 4], [5, 6]` in a list: zip(*[[1, 2], [3, 4], [5, 6]])<|endoftext|>"
2069,"<|endoftext|>zip lists in a list [[1, 2], [3, 4], [5, 6]]: zip(*[[1, 2], [3, 4], [5, 6]])<|endoftext|>"
2070,"<|endoftext|>request page 'https://www.mysite.com/' with credentials of username 'username' and password 'pwd': requests.get('https://www.mysite.com/', auth=('username', 'pwd'))<|endoftext|>"
2071,<|endoftext|>get a new string from the 3rd character to the end of the string `x`: x[2:]<|endoftext|>
2072,<|endoftext|>get a new string including the first two characters of string `x`: x[:2]<|endoftext|>
2073,<|endoftext|>get a new string including all but the last character of string `x`: x[:(-2)]<|endoftext|>
2074,<|endoftext|>get a new string including the last two characters of string `x`: x[(-2):]<|endoftext|>
2075,<|endoftext|>get a new string with the 3rd to the second-to-last characters of string `x`: x[2:(-2)]<|endoftext|>
2076,<|endoftext|>reverse a string `some_string`: some_string[::(-1)]<|endoftext|>
2077,"<|endoftext|>select alternate characters of ""H-e-l-l-o- -W-o-r-l-d"": 'H-e-l-l-o- -W-o-r-l-d'[::2]<|endoftext|>"
2078,<|endoftext|>select a substring of `s` beginning at `beginning` of length `LENGTH`: s = s[beginning:(beginning + LENGTH)]<|endoftext|>
2079,<|endoftext|>terminate the program: sys.exit()<|endoftext|>
2080,<|endoftext|>terminate the program: quit()<|endoftext|>
2081,"<|endoftext|>Terminating a Python script with error message ""some error message"": sys.exit('some error message')<|endoftext|>"
2082,"<|endoftext|>encode value of key `City` in dictionary `data` as `ascii`, ignoring non-ascii characters: data['City'].encode('ascii', 'ignore')<|endoftext|>"
2083,"<|endoftext|>get current CPU and RAM usage: psutil.cpu_percent()
psutil.virtual_memory()<|endoftext|>"
2084,"<|endoftext|>get current RAM usage of current program: pid = os.getpid()
py = psutil.Process(pid)
memoryUse = (py.memory_info()[0] / (2.0 ** 30))<|endoftext|>"
2085,"<|endoftext|>print cpu and memory usage: print((psutil.cpu_percent()))
print((psutil.virtual_memory()))<|endoftext|>"
2086,"<|endoftext|>read a ragged csv file `D:/Temp/tt.csv` using `names` parameter in pandas: pd.read_csv('D:/Temp/tt.csv', names=list('abcdef'))<|endoftext|>"
2087,<|endoftext|>get first non-null value per each row from dataframe `df`: df.stack().groupby(level=0).first()<|endoftext|>
2088,"<|endoftext|>print two numbers `10` and `20` using string formatting: """"""{0} {1}"""""".format(10, 20)<|endoftext|>"
2089,"<|endoftext|>replace placeholders in string '{1} {ham} {0} {foo} {1}' with arguments `(10, 20, foo='bar', ham='spam')`: """"""{1} {ham} {0} {foo} {1}"""""".format(10, 20, foo='bar', ham='spam')<|endoftext|>"
2090,<|endoftext|>create list `changed_list ` containing elements of list `original_list` whilst converting strings containing digits to integers: changed_list = [(int(f) if f.isdigit() else f) for f in original_list]<|endoftext|>
2091,"<|endoftext|>get a dictionary with keys from one list `keys` and values from other list `data`: dict(zip(keys, zip(*data)))<|endoftext|>"
2092,<|endoftext|>convert string `apple` from iso-8859-1/latin1 to utf-8: apple.decode('iso-8859-1').encode('utf8')<|endoftext|>
2093,"<|endoftext|>Exclude column names when writing dataframe `df` to a csv file `filename.csv`: df.to_csv('filename.csv', header=False)<|endoftext|>"
2094,"<|endoftext|>Escape character '}' in string '{0}:<15}}{1}:<15}}{2}:<8}}' while using function `format` with arguments `('1', '2', '3')`: print('{0}:<15}}{1}:<15}}{2}:<8}}'.format('1', '2', '3'))<|endoftext|>"
2095,"<|endoftext|>get dictionary with max value of key 'size' in list of dicts `ld`: max(ld, key=lambda d: d['size'])<|endoftext|>"
2096,"<|endoftext|>format parameters 'b' and 'a' into plcaeholders in string ""{0}\\w{{2}}b{1}\\w{{2}}quarter"": """"""{0}\\w{{2}}b{1}\\w{{2}}quarter"""""".format('b', 'a')<|endoftext|>"
2097,"<|endoftext|>django create a foreign key column `user` and link it to table 'User': user = models.ForeignKey('User', unique=True)<|endoftext|>"
2098,<|endoftext|>write a regex pattern to match even number of letter `A`: re.compile('^([^A]*)AA([^A]|AA)*$')<|endoftext|>
2099,"<|endoftext|>join Numpy array `b` with Numpy array 'a' along axis 0: b = np.concatenate((a, a), axis=0)<|endoftext|>"
2100,"<|endoftext|>custom sort an alphanumeric list `l`: sorted(l, key=lambda x: x.replace('0', 'Z'))<|endoftext|>"
2101,<|endoftext|>plot logarithmic axes with matplotlib: ax.set_yscale('log')<|endoftext|>
2102,"<|endoftext|>Access environment variable ""HOME"": os.environ['HOME']<|endoftext|>"
2103,"<|endoftext|>get value of environment variable ""HOME"": os.environ['HOME']<|endoftext|>"
2104,<|endoftext|>print all environment variables: print(os.environ)<|endoftext|>
2105,<|endoftext|>get all environment variables: os.environ<|endoftext|>
2106,<|endoftext|>get value of the environment variable 'KEY_THAT_MIGHT_EXIST': print(os.environ.get('KEY_THAT_MIGHT_EXIST'))<|endoftext|>
2107,"<|endoftext|>get value of the environment variable 'KEY_THAT_MIGHT_EXIST' with default value `default_value`: print(os.getenv('KEY_THAT_MIGHT_EXIST', default_value))<|endoftext|>"
2108,"<|endoftext|>get value of the environment variable 'HOME' with default value '/home/username/': print(os.environ.get('HOME', '/home/username/'))<|endoftext|>"
2109,<|endoftext|>create a dictionary containing each string in list `my_list` split by '=' as a key/value pairs: print(dict([s.split('=') for s in my_list]))<|endoftext|>
2110,"<|endoftext|>find the index of element closest to number 11.5 in list `a`: min(enumerate(a), key=lambda x: abs(x[1] - 11.5))<|endoftext|>"
2111,"<|endoftext|>find element `a` that contains string ""TEXT A"" in file `root`: e = root.xpath('.//a[contains(text(),""TEXT A"")]')<|endoftext|>"
2112,"<|endoftext|>Find the`a` tag in html `root` which starts with the text `TEXT A`  and assign it to `e`: e = root.xpath('.//a[starts-with(text(),""TEXT A"")]')<|endoftext|>"
2113,"<|endoftext|>find the element that holds string 'TEXT A' in file `root`: e = root.xpath('.//a[text()=""TEXT A""]')<|endoftext|>"
2114,<|endoftext|>create list `c` containing items from list `b` whose index is in list `index`: c = [b[i] for i in index]<|endoftext|>
2115,"<|endoftext|>get the dot product of two one dimensional numpy arrays: np.dot(a[:, (None)], b[(None), :])<|endoftext|>"
2116,"<|endoftext|>multiplication of two 1-dimensional arrays  in numpy: np.outer(a, b)<|endoftext|>"
2117,"<|endoftext|>execute a file './abc.py' with arguments `arg1` and `arg2` in python shell: subprocess.call(['./abc.py', arg1, arg2])<|endoftext|>"
2118,<|endoftext|>Replace NaN values in  column 'value' with the mean of data in column 'group' of dataframe `df`: df[['value']].fillna(df.groupby('group').transform('mean'))<|endoftext|>
2119,"<|endoftext|>separate each character in string `s` by '-': re.sub('(.)(?=.)', '\\1-', s)<|endoftext|>"
2120,"<|endoftext|>concatenate '-' in between characters of string `str`: re.sub('(?<=.)(?=.)', '-', str)<|endoftext|>"
2121,"<|endoftext|>get the indexes of the x and y axes in Numpy array `np` where variable `a` is equal to variable `value`: i, j = np.where(a == value)<|endoftext|>"
2122,<|endoftext|>print letter that appears most frequently in string `s`: print(collections.Counter(s).most_common(1)[0])<|endoftext|>
2123,"<|endoftext|>find float number proceeding sub-string `par` in string `dir`: float(re.findall('(?:^|_)' + par + '(\\d+\\.\\d*)', dir)[0])<|endoftext|>"
2124,"<|endoftext|>Get all the matches from a string `abcd` if it begins with a character `a`: re.findall('[^a]', 'abcd')<|endoftext|>"
2125,<|endoftext|>get a list of variables from module 'adfix.py' in current module.: print([item for item in dir(adfix) if not item.startswith('__')])<|endoftext|>
2126,<|endoftext|>get the first element of each tuple in a list `rows`: [x[0] for x in rows]<|endoftext|>
2127,<|endoftext|>get a list `res_list` of the first elements of each tuple in a list of tuples `rows`: res_list = [x[0] for x in rows]<|endoftext|>
2128,"<|endoftext|>duplicate data in pandas dataframe `x` for 5 times: pd.concat([x] * 5, ignore_index=True)<|endoftext|>"
2129,<|endoftext|>Get a repeated pandas data frame object `x` by `5` times: pd.concat([x] * 5)<|endoftext|>
2130,"<|endoftext|>sort json `ips_data` by a key 'data_two': sorted_list_of_keyvalues = sorted(list(ips_data.items()), key=item[1]['data_two'])<|endoftext|>"
2131,<|endoftext|>read json `elevations` to pandas dataframe `df`: pd.read_json(elevations)<|endoftext|>
2132,"<|endoftext|>generate a random number in 1 to 7 with a given distribution [0.1, 0.05, 0.05, 0.2, 0.4, 0.2]: numpy.random.choice(numpy.arange(1, 7), p=[0.1, 0.05, 0.05, 0.2, 0.4, 0.2])<|endoftext|>"
2133,<|endoftext|>Return rows of data associated with the maximum value of column 'Value' in dataframe `df`: df.loc[df['Value'].idxmax()]<|endoftext|>
2134,"<|endoftext|>find recurring patterns in a string '42344343434': re.findall('^(.+?)((.+)\\3+)$', '42344343434')[0][:-1]<|endoftext|>"
2135,"<|endoftext|>convert binary string '\x00\x00\x80?\x00\x00\x00@\x00\x00@@\x00\x00\x80@' to numpy array: np.fromstring('\x00\x00\x80?\x00\x00\x00@\x00\x00@@\x00\x00\x80@', dtype='<f4')<|endoftext|>"
2136,"<|endoftext|>convert binary string to numpy array: np.fromstring('\x00\x00\x80?\x00\x00\x00@\x00\x00@@\x00\x00\x80@', dtype='>f4')<|endoftext|>"
2137,"<|endoftext|>insert variables `(var1, var2, var3)` into sql statement 'INSERT INTO table VALUES (?, ?, ?)': cursor.execute('INSERT INTO table VALUES (?, ?, ?)', (var1, var2, var3))<|endoftext|>"
2138,"<|endoftext|>Execute a sql statement using variables `var1`, `var2` and `var3`: cursor.execute('INSERT INTO table VALUES (%s, %s, %s)', (var1, var2, var3))<|endoftext|>"
2140,"<|endoftext|>pandas split strings in column 'stats' by ',' into columns in dataframe `df`: df['stats'].str[1:-1].str.split(',', expand=True).astype(float)<|endoftext|>"
2141,"<|endoftext|>split string in column 'stats' by ',' into separate columns in dataframe `df`: df['stats'].str[1:-1].str.split(',').apply(pd.Series).astype(float)<|endoftext|>"
2142,<|endoftext|>Unpack column 'stats' in dataframe `df` into a series of columns: df['stats'].apply(pd.Series)<|endoftext|>
2143,<|endoftext|>wait for shell command `p` evoked by  subprocess.Popen to complete: p.wait()<|endoftext|>
2144,<|endoftext|>encode string `s` to utf-8 code: s.encode('utf8')<|endoftext|>
2145,"<|endoftext|>parse string '01-Jan-1995' into a datetime object using format '%d-%b-%Y': datetime.datetime.strptime('01-Jan-1995', '%d-%b-%Y')<|endoftext|>"
2146,"<|endoftext|>copy a file from `src` to `dst`: copyfile(src, dst)<|endoftext|>"
2147,"<|endoftext|>copy file ""/dir/file.ext"" to ""/new/dir/newname.ext"": shutil.copy2('/dir/file.ext', '/new/dir/newname.ext')<|endoftext|>"
2148,"<|endoftext|>copy file '/dir/file.ext' to '/new/dir': shutil.copy2('/dir/file.ext', '/new/dir')<|endoftext|>"
2149,"<|endoftext|>print a list of integers `list_of_ints` using string formatting: print(', '.join(str(x) for x in list_of_ints))<|endoftext|>"
2150,"<|endoftext|>multiply column 'A' and column 'B' by column 'C' in datafram `df`: df[['A', 'B']].multiply(df['C'], axis='index')<|endoftext|>"
2151,<|endoftext|>convert string 'a' to hex: hex(ord('a'))<|endoftext|>
2152,"<|endoftext|>Get the sum of values to the power of their indices in a list `l`: sum(j ** i for i, j in enumerate(l, 1))<|endoftext|>"
2153,"<|endoftext|>remove extra white spaces & tabs from a string `s`: """""" """""".join(s.split())<|endoftext|>"
2154,"<|endoftext|>replace comma in string `s` with empty string '': s = s.replace(',', '')<|endoftext|>"
2155,"<|endoftext|>Resample dataframe `frame` to resolution of 1 hour `1H` for timeseries index, summing values in the column `radiation` averaging those in column `tamb`: frame.resample('1H').agg({'radiation': np.sum, 'tamb': np.mean})<|endoftext|>"
2157,"<|endoftext|>create a pandas dataframe `df` from elements of a dictionary `nvalues`: df = pd.DataFrame.from_dict({k: v for k, v in list(nvalues.items()) if k != 'y3'})<|endoftext|>"
2158,<|endoftext|>Flask get value of request variable 'firstname': first_name = request.args.get('firstname')<|endoftext|>
2159,<|endoftext|>Flask get posted form data 'firstname': first_name = request.form.get('firstname')<|endoftext|>
2160,<|endoftext|>get a list of substrings consisting of the first 5 characters of every string in list `buckets`: [s[:5] for s in buckets]<|endoftext|>
2161,"<|endoftext|>sort list `the_list` by the length of string followed by alphabetical order: the_list.sort(key=lambda item: (-len(item), item))<|endoftext|>"
2162,<|endoftext|>Set index equal to field 'TRX_DATE' in dataframe `df`: df = df.set_index(['TRX_DATE'])<|endoftext|>
2163,<|endoftext|>List comprehension with an accumulator in range of 10: list(accumulate(list(range(10))))<|endoftext|>
2164,"<|endoftext|>How to convert a date string '2013-1-25' in format '%Y-%m-%d' to different format '%m/%d/%y': datetime.datetime.strptime('2013-1-25', '%Y-%m-%d').strftime('%m/%d/%y')<|endoftext|>"
2165,"<|endoftext|>convert a date string '2013-1-25' in format '%Y-%m-%d' to different format '%-m/%d/%y': datetime.datetime.strptime('2013-1-25', '%Y-%m-%d').strftime('%-m/%d/%y')<|endoftext|>"
2166,"<|endoftext|>get a dataframe `df2` that contains all the columns of dataframe `df` that do not end in `prefix`: df2 = df.ix[:, (~df.columns.str.endswith('prefix'))]<|endoftext|>"
2167,<|endoftext|>create list `new_list` containing the last 10 elements of list `my_list`: new_list = my_list[-10:]<|endoftext|>
2168,<|endoftext|>get the last 10 elements from a list `my_list`: my_list[-10:]<|endoftext|>
2169,<|endoftext|>convert matlab engine array `x` to a numpy ndarray: np.array(x._data).reshape(x.size[::-1]).T<|endoftext|>
2170,"<|endoftext|>select the first row grouped per level 0 of dataframe `df`: df.groupby(level=0, as_index=False).nth(0)<|endoftext|>"
2171,"<|endoftext|>concatenate sequence of numpy arrays  `LIST` into a one dimensional array along the first axis: numpy.concatenate(LIST, axis=0)<|endoftext|>"
2172,"<|endoftext|>convert and escape string ""\\xc3\\x85あ"" to UTF-8 code: """"""\\xc3\\x85あ"""""".encode('utf-8').decode('unicode_escape')<|endoftext|>"
2173,"<|endoftext|>encode string ""\\xc3\\x85あ"" to bytes: """"""\\xc3\\x85あ"""""".encode('utf-8')<|endoftext|>"
2174,"<|endoftext|>interleave the elements of two lists `a` and `b`: [j for i in zip(a, b) for j in i]<|endoftext|>"
2175,"<|endoftext|>merge two lists `a` and `b` into a single list: [j for i in zip(a, b) for j in i]<|endoftext|>"
2176,"<|endoftext|>delete all occureces of `8` in each string `s` in list `lst`: print([s.replace('8', '') for s in lst])<|endoftext|>"
2177,"<|endoftext|>Split string `Hello` into a string of letters seperated by `,`: """""","""""".join('Hello')<|endoftext|>"
2178,"<|endoftext|>in Django, select 100 random records from the database `Content.objects`: Content.objects.all().order_by('?')[:100]<|endoftext|>"
2179,"<|endoftext|>create a NumPy array containing elements of array `A` as pointed to by index in array `B`: A[np.arange(A.shape[0])[:, (None)], B]<|endoftext|>"
2180,"<|endoftext|>pivot dataframe `df` so that values for `upc` become column headings and values for `saleid` become the index: df.pivot_table(index='saleid', columns='upc', aggfunc='size', fill_value=0)<|endoftext|>"
2181,"<|endoftext|>match zero-or-more instances of lower case alphabet characters in a string `f233op `: re.findall('([a-z]*)', 'f233op')<|endoftext|>"
2182,"<|endoftext|>match zero-or-more instances of lower case alphabet characters in a string `f233op `: re.findall('([a-z])*', 'f233op')<|endoftext|>"
2183,"<|endoftext|>split string 'happy_hats_for_cats' using string '_for_': re.split('_for_', 'happy_hats_for_cats')<|endoftext|>"
2184,"<|endoftext|>Split string 'sad_pandas_and_happy_cats_for_people' based on string 'and', 'or' or 'for': re.split('_(?:for|or|and)_', 'sad_pandas_and_happy_cats_for_people')<|endoftext|>"
2185,"<|endoftext|>Split a string `l` by multiple words `for` or `or` or `and`: [re.split('_(?:f?or|and)_', s) for s in l]<|endoftext|>"
2186,"<|endoftext|>zip keys with individual values in lists `k` and `v`: [dict(zip(k, x)) for x in v]<|endoftext|>"
2187,"<|endoftext|>Sort a list 'lst' in descending order.: sorted(lst, reverse=True)<|endoftext|>"
2188,"<|endoftext|>sort array `order_array` based on column 'year', 'month' and 'day': order_array.sort(order=['year', 'month', 'day'])<|endoftext|>"
2189,"<|endoftext|>Sort a structured numpy array 'df' on multiple columns 'year', 'month' and 'day'.: df.sort(['year', 'month', 'day'])<|endoftext|>"
2190,"<|endoftext|>check if elements in list `my_list` are coherent in order: return my_list == list(range(my_list[0], my_list[-1] + 1))<|endoftext|>"
